Brand ID,Plant,Cross Plant Configurable Material,Style,Material Number ID,Material Number Text,Color (nrf Color Code),Characteristic Value For Main Sizes Of Variants ID,Fashion Information Field 1,HS2 Product Category,Brand Territory,Last Season Year/Season EMEA,Lot Logo fullbleed-desktop,ATP Current Week 30plus
NF,D060 - VF EDC (BE),NF0A3MLZQL61,FP X TNF FIRE ROAD,NF0A3MLZQL61004,"FP X TNF FIRE ROAD DEEP BLUE/BLACK, 12",401 - DARK BLUE,120,M - Mens,123 - FTW_Shoe,322 - Off Mountain,F02019,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A3MLZQL6-HERO?$hero-fullbleed-desktop$,6
NF,D060 - VF EDC (BE),NF0A87E5LK51,M TNF EST 1966 HOODIE,NF0A87E5LK51001,"M TNF EST 1966 HOODIE KHAKI STONE, Large",260 - MEDIUM BEIGE,L,M - Mens,114 - APP_Top,,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A87E5LK5-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A3FN38K21,TNF LOGO BOX POM,NF0A3FN38K21001,"TNF LOGO BOX POM SUMMIT NAVY, One Size",410 - NAVY,OS,M - Mens,105 - ACC_Headwear,992 - Not Applicable,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A3FN38K2-HERO?$hero-fullbleed-desktop$,31
NF,D060 - VF EDC (BE),NF0A88VS56P1,KID DENALI JACKET,NF0A88VS56P1005,"KID DENALI JACKET SUMMIT GOLD, 6",701 - DARK YELLOW,6,K - Kids,115 - APP_Outerwear,992 - Not Applicable,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A88VS56P-HERO?$hero-fullbleed-desktop$,31
NF,D060 - VF EDC (BE),NF0A88TA1IX1,W ACON PKA,NF0A88TA1IX1002,"W ACON PKA Beetroot, X Small",605 - BURGUNDY,XS,W - Womens,115 - APP_Outerwear,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A88TA1IX-HERO?$hero-fullbleed-desktop$,20
NF,D060 - VF EDC (BE),NF0A7URVSHO1,M M66 UTILITY RAIN PARKA,NF0A7URVSHO1004,"M M66 UTILITY RAIN PARKA OPTIC, X Large",310 - MEDIUM GREEN,XL,M - Mens,115 - APP_Outerwear,322 - Off Mountain,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A7URVSHO-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A89DZQ9I1,B S/S REAXION 2.0 TEE,NF0A89DZQ9I1002,"B S/S REAXION 2.0 TEE ATOMIZER BL, Small",450 - LIGHT BLUE,S,K - Kids,114 - APP_Top,992 - Not Applicable,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A89DZQ9I-HERO?$hero-fullbleed-desktop$,6
NF,D060 - VF EDC (BE),NF0A8251LK51,W HORIZON SHORT - EU,NF0A8251LK51005,"W HORIZON SHORT - EU KHAKI S, 2, Regular",260 - MEDIUM BEIGE,2,W - Womens,113 - APP_Bottom,321 - Mountain Essentials,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A8251LK5-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A8B49FN41,M S/S GPS TEE MILAN,NF0A8B49FN41006,"M S/S GPS TEE MILAN TNF WHITE, X Large",100 - WHITE,XL,M - Mens,114 - APP_Top,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A8B49FN4-HERO?$hero-fullbleed-desktop$,6
NF,D060 - VF EDC (BE),NF0A82HAJK31,M S/S GPS REC TEE KHAR,NF0A82HAJK31001,"M S/S GPS REC TEE KHAR CRLW BLAC, Medium",001 - BLACK,M,M - Mens,114 - APP_Top,322 - Off Mountain,F02023,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A82HAJK3-HERO?$hero-fullbleed-desktop$,6
